Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.28     0.00  1422868     0.00     0.00  long&& std::forward<long>(std::remove_reference<long>::type&)
  0.00      1.28     0.00  1404291     0.00     0.00  CountPair* std::__addressof<CountPair>(CountPair&)
  0.00      1.28     0.00  1272362     0.00     0.00  bool __gnu_cxx::operator< <CountPair*, std::vector<CountPair, std::allocator<CountPair> > >(__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > > const&, __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > > const&)
  0.00      1.28     0.00  1256875     0.00     0.00  std::remove_reference<std::pair<std::string, std::string>&>::type&& std::move<std::pair<std::string, std::string>&>(std::pair<std::string, std::string>&)
  0.00      1.28     0.00  1194969     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  0.00      1.28     0.00  1067151     0.00     0.00  std::pair<std::string const, long>& std::forward<std::pair<std::string const, long>&>(std::remove_reference<std::pair<std::string const, long>&>::type&)
  0.00      1.28     0.00  1065082     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::string, std::string>*, std::vector<std::pair<std::string, std::string>, std::allocator<std::pair<std::string, std::string> > > >::base() const
  0.00      1.28     0.00  1048654     0.00     0.00  std::move_iterator<CountPair*>::base() const
  0.00      1.28     0.00   955886     0.00     0.00  std::move_iterator<std::string*>::base() const
  0.00      1.28     0.00   880004     0.00     0.00  void std::_Destroy<CountPair>(CountPair*)
  0.00      1.28     0.00   820243     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator++()
  0.00      1.28     0.00   820243     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.00      1.28     0.00   775772     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00      1.28     0.00   738617     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00      1.28     0.00   737561     0.00     0.00  bool std::operator==<std::pair<std::string, std::string>*>(std::move_iterator<std::pair<std::string, std::string>*> const&, std::move_iterator<std::pair<std::string, std::string>*> const&)
